S24_1937;1939 Chevrolet Deluxe Coupe;Vintage Cars;1:24;Motor City Art Classics;This 1:24 scale die-cast replica of the 1939 Chevrolet Deluxe Coupe has the same classy look as the original. Features opening trunk, hood and doors and a showroom quality baked enamel finish.;7332;22.57;33.19
S24_2840;1958 Chevy Corvette Limited Edition;Classic Cars;1:24;Carousel DieCast Legends;The operating parts of this 1958 Chevy Corvette Limited Edition are particularly delicate due to their precise scale and require special care and attention. Features rotating wheels, working streering, opening doors and trunk. Color dark green.;2542;15.91;35.36
S24_2972;1982 Lamborghini Diablo;Classic Cars;1:24;Second Gear Diecast;This replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.;7723;16.24;37.76
S32_2206;1982 Ducati 996 R;Motorcycles;1:32;Gearbox Collectibles;Features rotating wheels , working kick stand. Comes with stand.;9241;24.14;40.23
S24_3969;1936 Mercedes Benz 500k Roadster;Vintage Cars;1:24;Red Start Diecast;This model features grille-mounted chrome horn, lift-up louvered hood, fold-down rumble seat, working steering system and rubber wheels. Color black.;2081;21.75;41.03
S50_1341;1930 Buick Marquette Phaeton;Vintage Cars;1:50;Studio M Art Models;Features opening trunk,  working steering system;7062;27.06;43.64
S24_2022;1938 Cadillac V-16 Presidential Limousine;Vintage Cars;1:24;Classic Metal Creations;This 1:24 scale precision die cast replica of the 1938 Cadillac V-16 Presidential Limousine has all the details of the original, from the flags on the front to an opening back seat compartment complete with telephone and rifle. Features factory baked-enamel black finish, hood goddess ornament, working jump seats.;2847;20.61;44.80
S72_1253;Boeing X-32A JSF;Planes;1:72;Motor City Art Classics;10" Wingspan with retractable landing gears.Comes with pilot;4857;32.77;49.66
S24_1628;1966 Shelby Cobra 427 S/C;Classic Cars;1:24;Carousel DieCast Legends;This diecast model of the 1966 Shelby Cobra 427 S/C includes many authentic details and operating parts. The 1:24 scale model of this iconic lighweight sports car from the 1960s comes in silver and it's own display case.;8197;29.18;50.31
S18_4668;1939 Cadillac Limousine;Vintage Cars;1:18;Studio M Art Models;Features completely detailed interior including Velvet flocked drapes,deluxe wood grain floor, and a wood grain casket with seperate chrome handles;6645;23.14;50.31
